USUARIO, COMENTARIO, DATACOMENTARIO, APLICATIVO, CATEGORIA
Pazi Harpaz,"After I bought the app, I can't download the main app. The app is not working","August 28, 2019",CamScanner,Produtividade
robert latham,Excellent Quality Scans Scans & directories make it a Great tool.,"August 28, 2019",CamScanner,Produtividade
א -,current version of core application has been removed from Play Store by Google. lost all scanned files.,"August 28, 2019",CamScanner,Produtividade
fritz kunze,Supposedly has malware,"August 28, 2019",CamScanner,Produtividade
Gaurav Kaimal,My antivirus gave a pop up saying 'Trojan-Dropper.AndroidOS.Necro.n' detected. And hence uninstalled this beautiful application. Kindly get a fix for this.,"August 28, 2019",CamScanner,Produtividade
Shengqiang Shu,Really? Actual app is a Trojan? Removed by Google. I paid you guys!,"August 28, 2019",CamScanner,Produtividade
Jinu John,Is it true that your app has a hidden trojan?,"August 28, 2019",CamScanner,Produtividade
Harsh Khemka,Its a virus,"August 28, 2019",CamScanner,Produtividade
Carl Dunnkosky,Has a virus installed with it,"August 28, 2019",CamScanner,Produtividade
Yash Gandhi,"They just selling ads and installing trojan for more money, bought paid version thinking its good unfortunately camscanner repo is all down now just cause they feel money is more important then service","August 28, 2019",CamScanner,Produtividade
Srinivas Varanasi,App not downloaded after payment,"August 28, 2019",CamScanner,Produtividade
Craig Sheely,Malware! Beware,"August 28, 2019",CamScanner,Produtividade
Marcus Rogers,Installed malware. Might be clean now but it doesn't matter. Screw up once and you're done. Can't believe I paid for this. Office lens and Google drive have the same functionality now too so. Let this company die.,"August 28, 2019",CamScanner,Produtividade
Michael Yavorovsky,"Paid for the full version, now appeared it is no longer full. Bad way for making a business.","August 28, 2019",CamScanner,Produtividade
Kamal Ranatunga,"I used this app for a longtime. Very useful and worked fine. But my virus guard detected virus and removed this app. Later I wanted to install CS again but no free version available and paid. App requested to install full version from play store, but get error, app cannot find. I requested a refund. What wrong with this useful app","August 28, 2019",CamScanner,Produtividade
PRABHU SHANKAR PRASAD,Bought the app but not it infected by torjan. What to do now !?,"August 28, 2019",CamScanner,Produtividade
Rashida Gandhi,It is suggested by media to deleted app immediately as there is some malware issue. And even google has deleted from its server. I have purchased few months back only. I would to get refund now.,"August 28, 2019",CamScanner,Produtividade
Bjørn-Erik Thorud,Do NOT buy this app. Malware and Trojan. Also started to charge extra even if you already payed for it. Stay away! Should have zero stars!,"August 28, 2019",CamScanner,Produtividade
CJ Webster,"Paid for the license but now the yearly subscription setup exists. If you sell a car you can't then turn around later and say actually I'm only going to rent it to you now. Plus, latest reports indicate presence of Trojan virus. Bad form all around.","August 28, 2019",CamScanner,Produtividade
Shahnaz Majeed,I hope i get my refund for the license purchased as CamScanner is taken off PlayStore!!,"August 28, 2019",CamScanner,Produtividade
Karthik Ambatipudi,"Bought the full version and became a user of the fool version. What's the point of paying premium when there's an additional monthly subscription to it. No use whatsoever, such a waste of money. On top of that, I came to know that this app is malware and has been pulled off play store. Now my important scanned data is in the hands of thugs. Such a shame they don't even have customer support to speak about it. Give me my refund and erase my precious data already!","August 28, 2019",CamScanner,Produtividade
Imran Paracha,MALWARE! Stay out. I had paid for this app and it was fine for a while (2+ years) but has since removed most of the premium features and now has malware in the app code.,"August 28, 2019",CamScanner,Produtividade
Jonathan Gerke,Not worth it,"August 28, 2019",CamScanner,Produtividade
Aom Aom,Why i can't use this app. I already pay money😭,"August 28, 2019",CamScanner,Produtividade
Faiyaz Mohammad,Reported for Trojans,"August 28, 2019",CamScanner,Produtividade
Fig In Ybor,No associated app!,"August 28, 2019",CamScanner,Produtividade
partha sen,Not working,"August 28, 2019",CamScanner,Produtividade
Mohammed Anzil,Trojan? Google should refund us.,"August 28, 2019",CamScanner,Produtividade
Todd Corley,SCAMMER,"August 28, 2019",CamScanner,Produtividade
Sanjeev Sabharwal,"Paid the subscription yet the app says 'download main application' as I hit download button, nothing happens ..keeps taking me to Retry. Had this app successfully for 3 years . Had to reinstall due to factory reset. Lost all document and app is inert.","August 28, 2019",CamScanner,Produtividade
A Google User,Useless sibce they moved into a subacription model and also after Kaspersky found Chinese malware on it.,"August 28, 2019",CamScanner,Produtividade
Jer Schultz,"I DID upgrade to premium years ago, what is this? Furthermore, I find out you are doing Trojan viruses in your product? Everyone, avoid this product!","August 28, 2019",CamScanner,Produtividade
Dnyaneshwar Nalawade,Where. Is the main application? I have purchased but not able to install main app.,"August 28, 2019",CamScanner,Produtividade
Jan Pieter Drost,I paid for a license and now they take my rights away. Cheaters. Uninstalled and replaced by Office Lens.,"August 28, 2019",CamScanner,Produtividade
Shahid Ali,"Please refund me one of amount, that I have charged twice on same time, please guide me that how I can unblock the blocked futures, as the play store sending message of ""not found""","August 28, 2019",CamScanner,Produtividade
Sreenivas K,I wonder why Google removed your app from playstore?,"August 28, 2019",CamScanner,Produtividade
Kevin Harada,I wouldnt recommend this app for how it turned its back on its user base and their recent exposure of having malware run on your phone. Uninstalled.,"August 28, 2019",CamScanner,Produtividade
Tom Prior,"App has been discovered to install malware on phones (The Register, 28/9/2019)","August 28, 2019",CamScanner,Produtividade
Drew A,Malware trash. Google should refund all the people who got camscammed into buying this.,"August 28, 2019",CamScanner,Produtividade
Spoorti Rawat,"Fake, doesnt even start with scanning, not authenticated. Forged app.","August 28, 2019",CamScanner,Produtividade
Ziad Q,Bait-and-switch scammers and to top things up the app turns out to include malware. Uninstalled for good. Never buying anything from this developer again and I suggest others dump them too.,"August 28, 2019",CamScanner,Produtividade
amir virani,"After paying and installing the app it did not upgrade to full version keeps saying ""Item not found"" Retry.","August 28, 2019",CamScanner,Produtividade
Ravi Prakash Singh,You scammers! I demand my money back!,"August 28, 2019",CamScanner,Produtividade
Cody Cryderman,New update contains a trojan,"August 28, 2019",CamScanner,Produtividade
Nishant Tejani,I had paid for the premium version. After they updated the app i was no longer a premium member and now am being pestered to buy ! AGAIN! Also recently they have installed a trojan due to which they are ablr to access data. Rrad pnline about it. Big time CHEATS..,"August 28, 2019",CamScanner,Produtividade
Arunkumar Behera,Not working...main application not downloading,"August 28, 2019",CamScanner,Produtividade
Prashanth anta,Google has removed Cam Scanner from Plsy store,"August 28, 2019",CamScanner,Produtividade
Richard L. Dunnam,I installed the paid version. Paid for it. And the original CS CamScanner is not available. Why the heck then would you actually charge me?,"August 28, 2019",CamScanner,Produtividade
Joshua Tobin,I purchased this app and then found out that it had hidden code containing malware. It is sense been removed from the Google play store and i no longer have a working app.,"August 28, 2019",CamScanner,Produtividade
Chad Wold,I'm very unhappy to have paid only to find out today that the developeds added Trojans to the application in the most recent update.,"August 28, 2019",CamScanner,Produtividade
S SAMANTARAY,Please help me. I have paid license but not working,"August 28, 2019",CamScanner,Produtividade
Vannan Manivannan,Very good,"August 28, 2019",CamScanner,Produtividade
Sergey Moiseev,"Cheaters, who siletely transform lifetime paid license to nothing but also included trojan dropper to newer versions. Better uninstall and forget.","August 28, 2019",CamScanner,Produtividade
Santo S,Uninstalled after malware news,"August 28, 2019",CamScanner,Produtividade
Chad Summerford,"Paid for the license a while back, now they want more money for me to access what i already paid for.... uninstalled. Do not buy from this Dev.","August 28, 2019",CamScanner,Produtividade
Brad M,Malware - check the news story on this app,"August 28, 2019",CamScanner,Produtividade
Chandrasekaran V,Not like before even the premium version has lots of adds and restrictions,"August 28, 2019",CamScanner,Produtividade
Tom Lee,Signup paid cannot download keeps saying try again over and over i refunded my money,"August 28, 2019",CamScanner,Produtividade
Srinivas Chengalvala,What is this. Today I purchased full version but there is no camscanner app in play store to download. Please respond.,"August 28, 2019",CamScanner,Produtividade
J Yang,What's up with the Trojan dropper deal?,"August 28, 2019",CamScanner,Produtividade
XRP Edmond,Something wrong in this app,"August 28, 2019",CamScanner,Produtividade
Marcus Ong,Seems that your original app got removed for malware° shame on you for violating all the trust over the years.,"August 28, 2019",CamScanner,Produtividade
Mercedes Steeves,actually a terrible app. the full version never pops up on the app store so I can't even use this one even after I paid for it,"August 28, 2019",CamScanner,Produtividade
Souvik Halder,Great product. Doea as it says in the name.,"August 28, 2019",CamScanner,Produtividade
amit singh,Why cam scanner is not available for download?,"August 28, 2019",CamScanner,Produtividade
hasnain khan,Problematic,"August 28, 2019",CamScanner,Produtividade
sethuraman vijayakumar,This is not a full version. Id cards cannot be scanned. Again they are forcing you to buy another premium version.,"August 28, 2019",CamScanner,Produtividade
Jeremey Pendleton,License unlocks very minimal features,"August 28, 2019",CamScanner,Produtividade
Ankush patil,Mast,"August 28, 2019",CamScanner,Produtividade
Heleen Gouws,I have paid for the app. Now its asking me to download the main features. If I click on download it says can't be found. I can't use it at all,"August 28, 2019",CamScanner,Produtividade
Sharath Ranjan P,"I purchased this app at Rs. 130, app got installed too. But, when i open this particular app it is asking me to download the main application, that which is not available on the app store.","August 28, 2019",CamScanner,Produtividade
Ross Jones,"Paid for the license and now they want more money for a subscription to get the features they already charged me for. Now I find out there is a malware in the app and I have to delete it. They get to keep the money and run, what a deal! Company is nothing but TJM (Total Jerk Moves). RUN AWAY FROM THIS APP ASAP.....","August 28, 2019",CamScanner,Produtividade
MARTIN FIGUEROA,no work I lost my money,"August 28, 2019",CamScanner,Produtividade
Suraj Verma,This app has trojan,"August 28, 2019",CamScanner,Produtividade
Carey Ramsay,Read that they now have added a Trojan to their app. Also they have removed features that I paid for.,"August 28, 2019",CamScanner,Produtividade
Joshua Blevins,"Can't use the app. It tells me to download another app, but it's missing from the app store.","August 28, 2019",CamScanner,Produtividade
Python Coding,"IT HAS MALWARE, DO NOT INSTALL","August 28, 2019",CamScanner,Produtividade
Travis Carter,Greedy developers ruined a great app.,"August 28, 2019",CamScanner,Produtividade
Eric Mitchell,"Like others, bought full licence years ago and it worked great. Now it asks for more money, no thanks. Plus talk of installing virus on your phone, yikes. Time to uninstall.","August 28, 2019",CamScanner,Produtividade
F*U* F*M*,Just read that the developer had installed malware in their cam scanner app. Deleted. I will be demanding a refund.,"August 28, 2019",CamScanner,Produtividade
Chad Vaughn,This app has become a fraud and loaded with Malware. Do not use. I am uninstalling after years of use.,"August 28, 2019",CamScanner,Produtividade
Jim Kramer,"Paid user for years, Aug 2019 article on Ars Technica tells a sordid story about how the app this unlocks installs malicious software in the background after the app is installed.  Would like to know how to get a refund.","August 28, 2019",CamScanner,Produtividade
